,,Temperature,Temperature,Temperature,Rainfall,Rainfall,Rainfall,Heatwaves,Heatwaves,Heatwaves,Coldwaves,Coldwaves,Coldwaves,Extreme rainfall,Extreme rainfall,Extreme rainfall
,,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.,Pop. weight. average,Settl.,Diff.
Country,Settlement,,,,,,,,,,,,,,,
Pakistan,Balochistan Camp,22.717867482567158,16.08061211785832,-6.637255364708839,1.5779109782526746,0.786319729308333,-0.7915912489443415,1.1721972313103173,1.5749641534310348,0.4027669221207175,1.8302778337832446,1.0908304377983193,-0.7394473959849253,1.8302778337832446,1.0908304377983193,-0.7394473959849253
South Sudan,Maban Camp,26.75847109174365,28.347227941416676,1.5887568496730253,3.106552964936018,2.4396014608145795,-0.6669515041214384,0.44538774857799995,1.0387931034482758,0.5934053548702758,0.30973211152918745,0.8592436974789915,0.5495115859498041,0.30973211152918745,0.8592436974789915,0.5495115859498041
South Sudan,Jamjang Camp,26.75847109174365,28.42609878516667,1.667627693423018,3.106552964936018,2.48583318894583,-0.6207197759901879,0.44538774857799995,1.3017241379310345,0.8563363893530345,0.30973211152918745,1.092436974815126,0.7827048632859385,0.30973211152918745,1.092436974815126,0.7827048632859385
Sudan,White Nile Camp,27.97104886749119,29.29972887470313,1.3286800072119398,0.8128519468469388,0.6818983688249987,-0.1309535780219402,0.8623331887249005,1.5763995579612071,0.7140663692363066,1.3835195181239128,1.4281713712626047,0.04465185313869191,1.3835195181239128,1.4281713712626047,0.04465185313869191
Sudan,East Dafur Camp,27.97104886749119,28.002786032419294,0.03173716492810286,0.8128519468469388,1.3105256019473928,0.4976736551004539,0.8623331887249005,1.2029966382704742,0.3406634495455737,1.3835195181239128,1.376448753480042,-0.007070764643870797,1.3835195181239128,1.376448753480042,-0.007070764643870797
Tanzania,Nyarugusu Camp,21.586068956883928,23.550819292125006,1.964750335241078,3.109649743191386,6.68389270192291,3.5742429587315243,1.487082951441172,0.5810347115948276,-0.9060482398463445,0.29930193502819635,0.1736131999747899,-0.12568873505340644,0.29930193502819635,0.1736131999747899,-0.12568873505340644
Tanzania,Nduta Camp,21.586068956883928,22.407037856395842,0.8209688995119144,3.109649743191386,3.081118133381247,-0.028531609810138914,1.487082951441172,0.8758620689655173,-0.6112208824756548,0.29930193502819635,0.24873949579831933,-0.05056243922987702,0.29930193502819635,0.24873949579831933,-0.05056243922987702
Uganda,Bidi Bidi Camp,21.490161593062414,24.995585461429172,3.5054238683667585,5.016042857733046,3.3711448474574994,-1.6448980102755466,0.8479714072932815,1.0348302657293103,0.18685885843602879,0.08095116464133714,0.32286543502352943,0.2419142703821923,0.08095116464133714,0.32286543502352943,0.2419142703821923
Uganda,Kyaka 2 & Rwamwanja Camps,21.490161593062414,21.258356132041673,-0.23180546102074118,5.016042857733046,2.871338287348957,-2.1447045703840892,0.8479714072932815,0.7432781569784481,-0.10469325031483334,0.08095116464133714,0.12396117149159663,0.04301000685025949,0.08095116464133714,0.12396117149159663,0.04301000685025949
Uganda,Nakivale Camp,21.490161593062414,20.68861486514587,-0.8015467279165449,5.016042857733046,2.5326897157229142,-2.483353142010132,0.8479714072932815,0.6287156640086206,-0.2192557432846609,0.08095116464133714,0.035015574,-0.04593559064133714,0.08095116464133714,0.035015574,-0.04593559064133714
Uganda,Kiryandongo Camp,21.490161593062414,23.397287898541677,1.907126305479263,5.016042857733046,4.110608298008332,-0.9054345597247142,0.8479714072932815,0.8643174019310345,0.016345994637752992,0.08095116464133714,0.27144050384873947,0.19048933920740233,0.08095116464133714,0.27144050384873947,0.19048933920740233
Uganda,Kyangwali Camp,21.490161593062414,23.557739382458326,2.067577789395912,5.016042857733046,4.546411392704163,-0.46963146502888264,0.8479714072932815,0.9396551724137931,0.09168376512051168,0.08095116464133714,0.20168067226890757,0.12072950762757043,0.08095116464133714,0.20168067226890757,0.12072950762757043
